Routing tables

Internet:
Destination        Gateway            Flags        Refs      Use   Netif Expire
default            192.168.100.1      UGSc           85       83     en0
127                127.0.0.1          UCS             0        0     lo0
127.0.0.1          127.0.0.1          UH             13     5472     lo0
169.254            link#6             UCS             0        0     en0
192.168.100        link#6             UCS             0        0     en0
192.168.100.1/32   link#6             UCS             1        0     en0
192.168.100.1      90:67:1c:63:8e:23  UHLWIir        18     2889     en0   1174
192.168.100.101/32 link#6             UCS             1        0     en0
192.168.100.101    8c:85:90:b0:13:eb  UHLWI           0        6     lo0
224.0.0/4          link#6             UmCS            1        0     en0
224.0.0.251        1:0:5e:0:0:fb      UHmLWI          0        0     en0
255.255.255.255/32 link#6             UCS             0        0     en0

Internet6:
Destination                             Gateway                         Flags         Netif Expire
default                                 fe80::9267:1cff:fe63:8e23%en0   UGc             en0
default                                 fe80::%utun0                    UGcI          utun0
default                                 fe80::%utun1                    UGcI          utun1
::1                                     ::1                             UHL             lo0
2001:268:c05b:600::/64                  link#6                          UC              en0
2001:268:c05b:600:59:e134:f0d7:bff2     8c:85:90:b0:13:eb               UHL             lo0
2001:268:c05b:600:9067:1c63:8e23:3      8c:85:90:b0:13:eb               UHL             lo0
2001:268:c05b:600:e9db:8b48:937f:b4b4   link#6                          UHLWI           en0
2001:268:c05b:600:f8c4:afbc:d64f:2b77   8c:85:90:b0:13:eb               UHL             lo0
fe80::%lo0/64                           fe80::1%lo0                     UcI             lo0
fe80::1%lo0                             link#1                          UHLI            lo0
fe80::%en0/64                           link#6                          UCI             en0
fe80::823:88be:4084:d6ec%en0            8c:85:90:b0:13:eb               UHLI            lo0
fe80::9267:1cff:fe63:8e23%en0           90:67:1c:63:8e:23               UHLWIir         en0
fe80::%awdl0/64                         link#8                          UCI           awdl0
fe80::9442:2dff:feb4:3e78%awdl0         96:42:2d:b4:3e:78               UHLI            lo0
fe80::%utun0/64                         fe80::a283:cbba:7a32:7060%utun0 UcI           utun0
fe80::a283:cbba:7a32:7060%utun0         link#12                         UHLI            lo0
fe80::%utun1/64                         fe80::a76b:1744:c499:b5c%utun1  UcI           utun1
fe80::a76b:1744:c499:b5c%utun1          link#13                         UHLI            lo0
ff01::%lo0/32                           ::1                             UmCI            lo0
ff01::%en0/32                           link#6                          UmCI            en0
ff01::%awdl0/32                         link#8                          UmCI          awdl0
ff01::%utun0/32                         fe80::a283:cbba:7a32:7060%utun0 UmCI          utun0
ff01::%utun1/32                         fe80::a76b:1744:c499:b5c%utun1  UmCI          utun1
ff02::%lo0/32                           ::1                             UmCI            lo0
ff02::%en0/32                           link#6                          UmCI            en0
ff02::%awdl0/32                         link#8                          UmCI          awdl0
ff02::%utun0/32                         fe80::a283:cbba:7a32:7060%utun0 UmCI          utun0
ff02::%utun1/32                         fe80::a76b:1744:c499:b5c%utun1  UmCI          utun1
